ebay_url,item_details_url,ebay_seller_url,ebay_title,ebay_item_number,ebay_product_condition,ebay_price,ebay_seller,ebay_upc,ebay_mpn,ebay_brand
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Tackla-800SR-Senior-Ice-Hockey-Pants-Black-GREAT-CONDITION-FREE-SHIP/254374334485?hash=item3b39e45015:g:kWcAAOSwR9NdkTif,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,Tackla 800SR Senior Ice Hockey Pants Black GREAT CONDITION-FREE SHIP,254374334485,Pre-owned,"INR 3,394.29(including shipping)",waverlyhills1,DOES NOT APPLY,800SR,Tackla Sports
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/MAKITA-HR2811FX-1-1-8-SDS-PLUS-Rotary-Hammer-W-4-1-2-Angle-Grinder-2019-NISB/254470282061?hash=item3b3f9c5b4d:g:BNMAAOSwhEteDpMJ,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"MAKITA HR2811FX 1-1/8"" SDS-PLUS Rotary Hammer W/4-1/2"" Angle Grinder 2019 NISB!!",254470282061,New,"INR 19,837.69(including shipping)",waverlyhills1,088381603447,HR2811FX,Makita
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/UNDER-ARMOUR-RABACH-HOODIE-BLACK-YOUTH-LARGE-LOOSE/254180992750?hash=item3b2e5e26ee:g:7dMAAOSw9ENZohsO,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"UNDER ARMOUR RABACH HOODIE BLACK, YOUTH-LARGE-LOOSE-",254180992750,Pre-owned,"INR 1,409.74(including shipping)",waverlyhills1,DOES NOT APPLY, - - - ,Under Armour
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/OPEN-TBD/312564361989?hash=item48c649ab05:g:rYsAAOSwq7JT9pAE,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,OPEN TBD,312564361989,New,"INR 54,985.47(including shipping)",waverlyhills1,064800900007,TURBO 200 MINI,"AMRAD ENGINEERING, INC."
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/OPNE2/312571137181?hash=item48c6b10c9d:g:CdQAAOSwcB5ZE7ah,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,OPNE2,312571137181,New with tags,"INR 177,191.86(including shipping)",waverlyhills1,097298013294, - - - ,PINK
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/OPEN-32/312564361981?hash=item48c649aafd:g:07IAAOSwmLlX5c1b,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,OPEN 32,312564361981,--not specified,"INR 391,594.02(including shipping)",waverlyhills1,DOES NOT APPLY,Does Not Apply,HANDMADEA T THE PLAYMILL ME
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/OPEN-TB/312549897773?hash=item48c56cf62d:g:RLQAAOxy0bRTDp6Y,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,OPEN TB,312549897773,New with tags,"INR 180,735.70(including shipping)",waverlyhills1,096506799944, - - - ,AIRPLUS
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/JB-DV-200N-7CFM-Platinum-Vacuum-Pump-F-SHIP-BRAND-NEW-IN-SEALED-BOX-06-2019/311946448329?hash=item48a1750dc9:g:APEAAOSww9ddmOWZ,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"JB DV-200N 7CFM Platinum Vacuum Pump, F/SHIP, BRAND NEW IN SEALED BOX- 06/2019!",311946448329,New,"INR 32,595.51(including shipping)",waverlyhills1,0095801761342,DV200N,JB Industries
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/RIDGID-R860720B-GEN5X-Hybrid-Fan-18-Volt-Rubber-Handle-Variable-Speed-Dials-NISB/252696817473?hash=item3ad5e76f41:g:skUAAOSwtIBZuISB,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,RIDGID R860720B GEN5X Hybrid Fan 18-Volt Rubber Handle Variable Speed Dials NISB,252696817473,New,"INR 5,669.43(including shipping)",waverlyhills1,0648846065878,R860720B,RIDGID
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/SPC-TECHNOLOGY-MODEL-DSP-50P-PANEL-PUNCH-W-WRENCH-FREE-SHIP-GREAT-CONDITION/312549897782?hash=item48c56cf636:g:I9QAAOxy9MpSPknU,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"SPC TECHNOLOGY MODEL DSP-50P PANEL PUNCH, W/WRENCH-FREE SHIP-GREAT CONDITION!!!",312549897782,Used,"INR 13,465.87(including shipping)",waverlyhills1, - - - ,DSP-50P,SPC Technology
